WORD,COUNT
astray,6
Troll,6
pit,6
Greyood,6
shivering,6
cheerless,6
However,6
Fernys,6
rush,6
dangers,6
verses,6
Deep,6
Striders,6
horsemen,6
trick,6
venture,6
gaze,6
masters,6
servant,6
service,6
doorway,6
rear,6
darkly,6
innkeeper,6
Archet,6
tossed,6
wary,6
Breehill,6
forged,6
perceived,6
overhead,6
reared,6
endlessly,6
prevent,6
mounting,6
warmer,6
Whether,6
Barrowwights,6
metal,6
lords,6
biting,6
threat,6
deeps,6
stained,6
galloping,6
commanded,6
clapped,6
belongs,6
sink,6
oating,6
smote,6
tray,6
daughter,6
begged,6
kindled,6
pile,6
doubtfully,6
lain,6
trunk,6
picking,6
breeze,6
downhill,6
Barrowdowns,6
crash,6
stumbling,6
ashes,6
Are,6
Looking,6
happier,6
scared,6
planted,6
steam,6
thirty,6
thunder,6
changing,6
shouting,6
Maggots,6
frozen,6
lonely,6
patches,6
brambles,6
struggled,6
slanting,6
Leave,6
liking,6
formed,6
shivered,6
Elffriend,6
blown,6
Seas,6
crawling,6
groping,6
sighing,6
Lonely,6
springs,6
melted,6
gear,6
oclock,6
blanket,6
minutes,6
cloven,6
Eastfarthing,6
Woodhall,6
westwards,6
trotting,6
Coming,6
unpleasant,6
key,6
harder,6
dog,6
ear,6
rm,6
sunlit,6
Ruling,6
movement,6
tells,6
judge,6
frightened,6
Light,6
betrayed,6
bending,6
wearing,6
Because,6
dragged,6
recall,6
dominion,6
Tongue,6
commanding,6
stupid,6
Ever,6
keeper,6
shrank,6
worrying,6
cutting,6
lesser,6
shimmering,6
sunrise,6
visit,6
murmured,6
restless,6
approached,6
blame,6
Half,6
uses,6
former,6
simply,6
bottles,6
spoons,6
painful,6
glanced,6
bowing,6
lets,6
wanting,6
stammered,6
happy,6
butter,6
snorted,6
alarmed,6
visible,6
hasnt,6
expression,6
numbers,6
scattered,6
nearby,6
bells,6
tables,6
waving,6
lanterns,6
chorus,6
mysterious,6
poetry,6
dreaded,6
refuse,6
Otho,6
glow,6
intended,6
dropped,6
trunks,6
tea,6
welcomed,6
ones,6
fun,6
packing,6
Party,6
Shirefolk,6
month,6
rmly,6
ll,6
lack,6
bless,6
deed,6
Sandyman,6
dinner,6
Youre,6
theyre,6
Bagshot,6
dashed,6
nally,6
paid,6
vigour,6
heirs,6
which,6
copy,6
leather,6
private,6
mainly,6
coat,6
fetch,6
smelling,6
marvellous,6
Gollums,6
failed,6
wits,6
game,6
served,6
tunnel,6
groped,6
won,6
guarded,6
exile,6
body,6
Inside,6
twelve,6
feather,6
constantly,6
instance,6
managed,6
Outside,6
Bofns,6
allow,6
centre,6
wanderers,6
traveller,6
plant,6
members,6
belonged,6
dealings,6
regarded,6
report,6
elsewhere,6
